"module","modSize","bkgrModSize","rank","enrichmentP","BonferoniP","nModGenesInTerm","fracOfBkgrModSize","fracOfBkgrTermSize","bkgrTermSize","termID","termOntology","termName","termDefinition"
"black",531,517,1,0.000533356028225219,1,3,0.00580270793036751,0.6,5,"GO:0051315","BP","attachment of mitotic spindle microtubules to kinetochore","The cell cycle process in which spindle microtubules become physically associated with the proteins making up the kinetochore complex during mitosis."
"black",531,517,2,0.000574069212948591,1,6,0.011605415860735,0.214285714285714,28,"GO:0051293","BP","establishment of spindle localization","The directed movement of the spindle to a specific location in the cell."
"black",531,517,3,0.00117076302337461,1,4,0.00773694390715667,0.307692307692308,13,"GO:0019825","MF","oxygen binding","Interacting selectively and non-covalently with oxygen (O2)."
"black",531,517,4,0.00121209460060895,1,6,0.011605415860735,0.1875,32,"GO:0051653","BP","spindle localization","Any process in which is the spindle is transported to, and/or maintained in, a specific location."
"black",531,517,5,0.00126035275228866,1,5,0.00967117988394584,0.227272727272727,22,"GO:0008206","BP","bile acid metabolic process","The chemical reactions and pathways involving bile acids, any of a group of steroid carboxylic acids occurring in bile, where they are present as the sodium salts of their amides with glycine or taurine."
"black",531,517,6,0.00126035275228866,1,5,0.00967117988394584,0.227272727272727,22,"GO:0051294","BP","establishment of spindle orientation","Any process that set the alignment of spindle relative to other cellular structures."
"black",531,517,7,0.00147566008839291,1,2,0.00386847195357834,1,2,"GO:0015938","BP","coenzyme A catabolic process","The chemical reactions and pathways resulting in the breakdown of coenzyme A, 3'-phosphoadenosine-(5')diphospho(4')pantatheine, an acyl carrier in many acylation and acyl-transfer reactions in which the intermediate is a thiol ester."
"black",531,517,8,0.00147566008839291,1,2,0.00386847195357834,1,2,"GO:0005833","CC","hemoglobin complex","An iron-containing, oxygen carrying complex. In vertebrates it is made up of two pairs of associated globin polypeptide chains, each chain carrying a noncovalently bound heme prosthetic group."
"black",531,517,9,0.00147566008839291,1,2,0.00386847195357834,1,2,"GO:0031838","CC","haptoglobin-hemoglobin complex","A protein complex formed by the stable binding of a haptoglobin to hemoglobin."
"black",531,517,10,0.00147566008839291,1,2,0.00386847195357834,1,2,"GO:0018479","MF","benzaldehyde dehydrogenase (NAD+) activity","Catalysis of the reaction: benzaldehyde + NAD+ + H2O = benzoate + NADH + H+."
"black",531,517,11,0.00147566008839291,1,2,0.00386847195357834,1,2,"GO:0031720","MF","haptoglobin binding","Interacting selectively and non-covalently with a haptoglobin, any alpha2 globulin of blood plasma that can combine with free oxyhemoglobin to form a stable complex."
"black",531,517,12,0.00156013382894232,1,5,0.00967117988394584,0.217391304347826,23,"GO:0000777","CC","condensed chromosome kinetochore","A multisubunit complex that is located at the centromeric region of a condensed chromosome and provides an attachment point for the spindle microtubules."
"black",531,517,13,0.00168566342915749,1,6,0.011605415860735,0.176470588235294,34,"GO:0031952","BP","regulation of protein autophosphorylation","Any process that modulates the frequency, rate or extent of addition of the phosphorylation by a protein of one or more of its own residues."
"black",531,517,14,0.00170153314079251,1,31,0.0599613152804642,0.0675381263616558,459,"GO:0019953","BP","sexual reproduction","A reproduction process that creates a new organism by combining the genetic material of two organisms. It occurs both in eukaryotes and prokaryotes: in multicellular eukaryotic organisms, an individual is created anew; in prokaryotes, the initial cell has additional or transformed genetic material. In a process called genetic recombination, genetic material (DNA) originating from two different individuals (parents) join up so that homologous sequences are aligned with each other, and this is followed by exchange of genetic information. After the new recombinant chromosome is formed, it is passed on to progeny."
"black",531,517,15,0.0017617164040239,1,3,0.00580270793036751,0.428571428571429,7,"GO:0006188","BP","IMP biosynthetic process","The chemical reactions and pathways resulting in the formation of IMP, inosine monophosphate."
"black",531,517,16,0.0023464442280625,1,10,0.0193423597678917,0.111111111111111,90,"GO:0000723","BP","telomere maintenance","Any process that contributes to the maintenance of proper telomeric length and structure by affecting and monitoring the activity of telomeric proteins and the length of telomeric DNA. These processes includes those that shorten and lengthen the telomeric DNA sequences."
"black",531,517,17,0.0023464442280625,1,10,0.0193423597678917,0.111111111111111,90,"GO:0032200","BP","telomere organization","A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of telomeres, terminal regions of a linear chromosome that include the telomeric DNA repeats and associated proteins."
"black",531,517,18,0.00271873072002834,1,4,0.00773694390715667,0.25,16,"GO:0070242","BP","thymocyte apoptotic process","Any apoptotic process in a thymocyte, an immature T cell located in the thymus."
"black",531,517,19,0.0028394139449335,1,7,0.0135396518375242,0.14,50,"GO:0055072","BP","iron ion homeostasis","Any process involved in the maintenance of an internal steady state of iron ions within an organism or cell."
"black",531,517,20,0.00351280694200027,1,41,0.0793036750483559,0.059593023255814,688,"GO:0019752","BP","carboxylic acid metabolic process","The chemical reactions and pathways involving carboxylic acids, any organic acid containing one or more carboxyl (COOH) groups or anions (COO-)."
"blue",2195,2162,1,9.55448055901966e-12,1.60916561575009e-07,587,0.271507863089732,0.202413793103448,2900,"GO:0051171","BP","regulation of nitrogen compound metabolic process","Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving nitrogen or nitrogenous compounds."
"blue",2195,2162,2,6.97334714281142e-11,1.1744511257923e-06,572,0.264569842738205,0.201054481546573,2845,"GO:0044428","CC","nuclear part","Any constituent part of the nucleus, a membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated."
"blue",2195,2162,3,1.86245501270781e-10,3.13674673240249e-06,503,0.232654949121184,0.203891366031617,2467,"GO:0031981","CC","nuclear lumen","The volume enclosed by the nuclear inner membrane."
"blue",2195,2162,4,4.87933540803461e-10,8.21777669421189e-06,955,0.441720629047179,0.185653188180404,5144,"GO:0005634","CC","nucleus","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"blue",2195,2162,5,5.915248080239e-10,9.96246081673852e-06,607,0.280758556891767,0.196950032446463,3082,"GO:0016070","BP","RNA metabolic process","The cellular chemical reactions and pathways involving RNA, ribonucleic acid, one of the two main type of nucleic acid, consisting of a long, unbranched macromolecule formed from ribonucleotides joined in 3',5'-phosphodiester linkage."
"blue",2195,2162,6,6.56801447028611e-10,1.10618499708559e-05,383,0.177150786308973,0.211252068394926,1813,"GO:0005654","CC","nucleoplasm","That part of the nuclear content other than the chromosomes or the nucleolus."
"blue",2195,2162,7,7.49495323637428e-10,1.26230002407016e-05,645,0.298334875115634,0.195040822497732,3307,"GO:0034645","BP","cellular macromolecule biosynthetic process","The chemical reactions and pathways resulting in the formation of a macromolecule, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass, carried out by individual cells."
